"father" "mother" "midparentHeight" "gender" "childHeight"
"1" 78.5 67 75.43 "female" 69.2
"2" 78.5 67 75.43 "male" 73.2
"3" 75.5 66.5 73.66 "female" 65.5
"4" 75.5 66.5 73.66 "male" 72.5
"5" 75 64 72.06 "female" 68
"6" 75 64 72.06 "male" 71
"7" 75 64 72.06 "female" 63
"8" 75 64 72.06 "male" 68.5
"9" 75 58.5 69.09 "female" 62.5
"10" 75 58.5 69.09 "male" 72
"11" 74 68 73.72 "female" 69.5
"12" 74 68 73.72 "female" 70.5
"13" 74 68 73.72 "male" 73
"14" 74 66.5 72.91 "female" 68
"15" 74.5 66 72.89 "female" 66
"16" 74 65.5 72.37 "female" 65.5
"17" 74 62 70.48 "female" 63.5
"18" 74 62 70.48 "male" 70
"19" 74 61 69.94 "female" 65
"20" 73 67 72.68 "female" 62
"21" 73 67 72.68 "male" 71
"22" 73 67 72.68 "male" 68
"23" 73 66.5 72.41 "female" 66.7
"24" 73 66.5 72.41 "male" 71
"25" 73 65 71.6 "female" 66.5
"26" 73 65 71.6 "male" 70.5
"27" 73 64.5 71.33 "female" 66.5
"28" 73 64.5 71.33 "male" 73
"29" 73 64 71.06 "female" 64
"30" 73.2 63 70.62 "female" 62.7
"31" 72.7 69 73.61 "female" 68.5
"32" 72.7 69 73.61 "male" 73
"33" 72 68 72.72 "female" 68.5
"34" 72 68 72.72 "male" 73
"35" 72 67 72.18 "female" 67
"36" 72 67 72.18 "male" 71
"37" 72 65 71.1 "female" 65
"38" 72 65 71.1 "male" 74.2
"39" 72 65.5 71.37 "female" 65.5
"40" 72 64 70.56 "female" 66
"41" 72 63 70.02 "female" 63
"42" 72 63 70.02 "male" 70.5
"43" 72 63 70.02 "female" 63
"44" 72 63 70.02 "male" 67
"45" 72 63 70.02 "female" 66.5
"46" 72 63 70.02 "male" 67
"47" 72.5 63.5 70.54 "female" 67.5
"48" 72 62 69.48 "female" 64
"49" 72.5 62 69.73 "female" 65
"50" 72.5 62 69.73 "male" 70
"51" 72 62 69.48 "female" 67.5
"52" 72 62 69.48 "male" 69
"53" 72 62 69.48 "female" 68
"54" 72 62 69.48 "male" 72
"55" 72 61 68.94 "female" 65.7
"56" 71 69 72.76 "female" 67
"57" 71 69 72.76 "male" 74
"58" 71 67 71.68 "female" 67
"59" 71 67 71.68 "male" 73
"60" 71 66 71.14 "female" 67
"61" 71 66 71.14 "male" 70
"62" 71 66 71.14 "female" 66
"63" 71 66 71.14 "male" 69
"64" 71 66 71.14 "female" 67
"65" 71 66 71.14 "male" 71
"66" 71 66 71.14 "female" 66
"67" 71 66 71.14 "male" 72
"68" 71.7 65.5 71.22 "male" 70.5
"69" 71 65.5 70.87 "female" 66
"70" 71 65.5 70.87 "male" 69
"71" 71.5 65.5 71.12 "female" 65.2
"72" 71.5 65.5 71.12 "male" 73
"73" 71.5 65 70.85 "male" 68.5
"74" 71 65 70.6 "female" 62
"75" 71 65 70.6 "male" 68
"76" 71 64 70.06 "female" 65
"77" 71.7 64.5 70.68 "female" 67
"78" 71.7 64.5 70.68 "male" 71
"79" 71 64 70.06 "male" 68
"80" 71.5 64.5 70.58 "female" 62
"81" 71.5 64.5 70.58 "male" 71
"82" 71 64.5 70.33 "female" 62
"83" 71 64.5 70.33 "male" 73
"84" 71.2 63 69.62 "female" 67.5
"85" 71 63.5 69.79 "female" 63.5
