"age" "female" "hisp" "education" "earnings" "hours" "week" "union" "uncov" "region" "race" "marital"
"1" 55 0 1 13 24000 40 52 0 0 1 1 1
"2" 51 0 0 18 50000 65 52 0 0 3 1 5
"3" 60 0 0 16 80000 40 52 1 0 1 1 1
"4" 43 0 0 18 103000 45 52 0 0 4 1 1
"5" 41 0 1 6 15000 40 52 0 0 4 1 1
"6" 58 0 0 16 50000 40 52 0 0 4 1 5
"7" 30 0 1 12 16000 40 52 0 0 3 1 1
"8" 28 0 1 12 42000 40 52 0 0 4 1 1
"9" 46 0 1 16 20000 40 52 0 0 4 1 1
"10" 22 0 0 16 20000 40 49 0 0 2 1 7
"11" 71 0 0 13 48000 40 52 0 0 3 1 3
"12" 25 0 1 12 40957 40 52 0 0 4 1 5
"13" 60 0 0 18 90000 40 52 0 0 1 1 1
"14" 45 0 0 13 47000 70 49 0 0 3 1 1
"15" 54 0 0 12 98860 60 52 0 0 2 1 1
"16" 43 0 0 12 22000 36 52 0 0 1 1 7
"17" 45 0 0 20 389599 50 52 0 0 2 1 1
"18" 28 0 0 13 45000 45 52 0 0 4 1 7
"19" 49 0 0 16 34000 45 50 0 0 2 1 1
"20" 31 0 0 18 45000 40 52 0 0 3 1 1
"21" 33 0 0 16 35000 40 52 0 0 3 1 1
"22" 36 0 0 16 32000 45 52 0 0 2 1 1
"23" 28 0 0 16 60000 40 52 0 0 3 1 1
"24" 38 0 0 16 75000 60 52 0 0 4 1 1
"25" 35 0 0 14 40000 40 52 0 0 4 1 1
"26" 26 0 0 14 45000 50 52 0 0 3 1 7
"27" 30 0 0 12 35880 70 52 0 0 1 1 1
"28" 35 0 0 12 32000 40 52 0 0 3 1 5
"29" 31 0 0 16 60000 40 52 0 0 2 1 7
"30" 31 0 0 16 55000 40 52 0 0 2 1 1
"31" 24 0 0 16 65000 40 52 0 0 3 1 7
"32" 34 0 0 16 55000 40 52 0 0 3 1 1
"33" 54 0 0 16 389599 45 52 0 0 3 1 1
"34" 47 0 0 16 30000 46 52 0 0 3 1 5
"35" 55 0 0 16 39000 40 52 0 0 1 1 1
"36" 38 0 0 18 389599 65 52 0 0 4 1 1
"37" 65 0 1 12 25000 40 52 0 0 3 1 1
"38" 60 0 0 9 35000 40 52 0 0 2 1 1
"39" 35 0 0 13 60000 50 52 0 0 3 1 1
"40" 56 0 0 16 389599 55 52 0 0 3 1 5
"41" 23 0 1 14 14000 46 52 0 0 1 1 7
"42" 45 0 0 13 25000 55 52 0 0 3 1 5
"43" 44 0 1 6 54000 40 52 0 0 4 1 1
"44" 60 0 0 12 75000 42 52 0 0 2 1 1
"45" 38 0 0 13 43700 40 51 0 0 1 1 1
"46" 36 0 0 16 60002 40 52 0 0 2 1 1
"47" 40 0 0 16 80000 40 52 0 0 4 1 1
"48" 30 0 0 13 32000 40 52 0 0 3 1 1
"49" 44 0 1 12 30000 40 52 0 0 3 1 1
"50" 58 0 0 13 40000 40 52 0 0 2 1 5
"51" 54 0 0 12 389599 40 52 0 0 4 1 1
"52" 50 0 0 12 85000 50 52 0 0 3 1 5
"53" 33 0 0 12 44000 40 52 0 0 3 1 1
"54" 50 0 0 16 1e+05 40 52 0 0 3 1 1
"55" 33 0 1 12 45000 40 52 0 0 1 1 1
"56" 63 0 0 12 62834 40 52 0 0 2 1 1
"57" 35 0 1 16 118000 40 52 0 0 3 1 1
"58" 52 0 0 16 32000 50 52 0 0 2 1 1
"59" 63 0 0 13 67500 56 52 0 0 4 1 1
"60" 46 0 0 14 43000 40 52 0 0 4 1 5
"61" 55 0 0 16 115000 45 52 0 0 2 1 1
"62" 47 0 0 16 109000 50 52 0 0 1 1 1
"63" 31 0 1 12 50000 40 52 0 0 1 1 1
"64" 41 0 1 13 50000 40 52 0 0 2 1 1
"65" 52 0 0 18 70000 40 52 0 0 4 1 1
"66" 54 0 0 12 30000 40 52 0 0 2 1 1
"67" 51 0 0 20 150000 50 52 0 0 3 1 1
"68" 55 0 0 13 55000 40 52 0 0 3 1 1
"69" 48 0 0 18 60500 40 52 0 0 2 1 1
"70" 39 0 0 12 13000 40 52 0 0 3 1 1
"71" 46 0 0 16 1e+05 50 52 0 0 1 1 1
"72" 58 0 0 16 55000 40 52 0 0 2 1 1
"73" 57 0 0 18 62000 40 52 0 0 1 1 1
"74" 20 0 0 9 15000 40 52 0 0 3 1 7
"75" 26 0 0 13 30000 45 52 0 0 2 1 1
"76" 59 0 0 18 50000 40 52 0 0 3 1 1
"77" 59 0 0 18 107946 65 52 0 0 4 1 1
"78" 25 0 0 12 39000 40 52 0 0 4 1 7
"79" 53 0 0 12 32000 40 52 0 0 2 1 5
"80" 39 0 0 12 70000 40 52 0 0 3 1 1
"81" 24 0 0 16 30000 40 50 0 0 3 1 7
"82" 47 0 0 12 41000 40 52 0 0 2 1 1
"83" 59 0 0 12 95000 84 52 0 0 3 1 1
"84" 26 0 1 10 30000 40 52 0 0 2 1 5
"85" 21 0 0 12 45000 50 52 0 0 4 1 1
"86" 51 0 0 12 125000 50 52 0 0 3 1 1
"87" 38 0 0 13 55000 45 52 0 0 1 1 1
"88" 35 0 0 18 125000 55 52 0 0 3 1 1
"89" 28 0 0 16 79000 50 52 0 0 1 1 1
"90" 54 0 1 12 72920 40 52 0 0 1 1 1
"91" 54 0 0 12 37440 40 52 0 0 1 1 1
"92" 57 0 1 14 36400 40 52 0 0 3 1 1
"93" 45 0 0 16 50000 40 52 0 0 4 1 1
"94" 37 0 0 12 45000 40 52 0 0 3 1 1
"95" 38 0 1 13 90000 50 52 0 0 4 1 1
"96" 57 0 0 20 95000 40 52 0 0 2 1 1
"97" 59 0 1 12 25000 36 52 0 0 3 1 7
"98" 38 0 0 12 30000 40 52 0 0 4 1 1
"99" 51 0 0 10 36000 40 52 0 0 4 1 1
"100" 50 0 0 16 35900 45 52 0 0 2 1 7
"101" 40 0 0 12 74000 50 52 0 0 2 1 1
"102" 24 0 1 13 26000 56 52 0 0 2 1 7
"103" 38 0 0 13 60000 40 52 0 0 4 1 1
"104" 55 0 0 14 40000 40 52 1 0 2 1 1
"105" 32 0 0 18 29000 50 52 0 0 4 1 1
"106" 30 0 1 0 43000 40 52 0 0 3 1 3
"107" 52 0 0 16 10000 50 52 0 0 1 1 1
"108" 44 0 0 14 67713 45 52 0 0 2 1 1
"109" 52 0 0 16 1e+05 50 52 0 0 1 1 1
"110" 25 0 0 12 24000 55 52 0 0 2 1 7
"111" 41 0 0 12 66000 43 52 0 0 1 1 1
"112" 34 0 0 14 55000 40 52 0 0 2 1 1
"113" 51 0 0 16 150000 65 52 0 0 1 1 1
"114" 62 0 1 12 53000 40 52 0 0 4 1 1
"115" 27 0 0 16 41000 45 52 0 0 1 1 1
"116" 37 0 0 12 44000 70 52 0 0 1 1 1
"117" 43 0 0 13 17000 40 52 0 0 2 1 1
"118" 50 0 0 16 95000 40 52 0 0 3 1 1
"119" 42 0 0 20 150000 52 52 0 0 2 1 1
"120" 42 0 0 16 72000 40 52 0 0 1 1 1
"121" 22 0 1 12 11000 40 52 0 0 4 1 7
"122" 60 0 0 8 49000 40 52 0 0 1 1 4
"123" 59 0 0 13 140000 40 52 0 0 3 1 1
"124" 30 0 0 13 70083 50 52 0 0 3 1 1
"125" 26 0 0 12 20800 40 52 0 0 3 1 7
"126" 41 0 0 12 43000 45 52 0 0 2 1 7
"127" 33 0 0 13 22441 40 50 0 0 1 1 7
"128" 29 0 1 12 23400 40 52 0 0 4 1 3
"129" 36 0 0 18 140000 40 52 0 0 2 1 1
"130" 29 0 0 14 15000 40 52 0 0 3 1 7
"131" 68 0 0 18 30000 40 52 0 0 4 1 1
"132" 43 0 0 12 40000 40 52 0 0 3 1 1
"133" 62 0 0 16 120000 40 52 0 0 3 1 1
